comment,is_spam
"This talk is to explain how a distributed database architecture can drive more reliable web apps. Even for startups who use Python and wants a database which is fault tolerant with no down time ,Riak is helpful. Talk will clarify when to use Riak DB and how we can exploit it using Python ,the easiest language to write more efficient Web apps.",0
"This one will be hands-on workshop, where people will build the solution on development boards. We will do the session talk first in https://in.pycon.org/cfp/pycon-india-2015/proposals/building-nextgen-iot-solutions-using-python-and-cloud/ which will involve demos, and then people who are interested to do hands-on can attend this workshop.",0
Seems to be good implementation of python + mongo + web interface. Complete end to end usage of mongo database and python coding.,0
"Just in case this was not clear.

This proposal is a second step to the one I did last year, It's supposed to teach advanced concepts and design patterns to be used in mobile development.

The slides are right now a copy of what we had last year with minor changes. I am adding new content every day to it to include advanced concepts inside it instead of the old content.

I have the basic outline of the presentation mentioned in the proposal above. The slides will be updated based on that.",0
"good work effort - ""changing passcode easy"" :) :) :) ",0
"It would be especially interesting to have a talk related to Cyber Security and Python at Pycon. I have been interested in attending talks on Python and its use in Cyber security but surprisingly there have not been many talks in this area at Pycon. I was at Pycon North America and OWASP team had visited Pycon North America this year but there was no talk by them. There was one by Jacob Kaplan Moss at Pycon Australia which was really cool. [1]

[1] https://www.youtube.com/watch?v=sra9x44lXgU",0
NIce Article !! ,0
Great to know...,0
"It is a great topic.
Looking forward to attend same.
",0
Nice article,0
Nice *Proposal,0
Nice proposal samarth!!,0
Great idea....,0
"Saurabh, I guess the workshops are on the first day of the event, before the talks happen. So what you are suggesting, will not work.",0
"As one of the co-authors of Two Scoops of Django, I can say that Saurabh's contributions to the book were useful and voluminous.  His work on cookiecutter-django is nothing short of brilliant. He has my full confidence. I recommend this talk very highly.",0
"The description of the talk is way short for the topic, and it does not explain why the speakers are the best person to give this talk.",0
Missing speaker info. There should be enough material to prove why the speaker is a good person to talk about Python3. He should also point to the Python3 projects he worked on.,0
Please add an outline of your talk to the description. Otherwise this looks good.,0
A well written proposal.,0
This should be a good talk.,0
"Very good topic, but please add an outline of the talk.",0
Thanks Kushal. I'll add an outline shortly. ,0
Thank you!,0
Can you please add some talk outline to the description? The current description does not give any details about the talk itself.,0
Can you please add some talk outline in the description? ,0
Looking forward to the talk. :),0
"Can you please elaborate on your approach? 

Are you hacking python's safe builtins? Are you relying on a library or are you running the whole thing in a container? ",0
Thanks :),0
A good proposal. It would be interesting to learn about using Python for things other than traditional programming.,0
Interesting talk and by a speaker who knows what he is talking about. Will encourage new contributors. Definite +1.,0
Definitely going to sit for this talk.,0
I really hope that this talk gets selected. Documentation is often treated as a step child or a second class citizen. Experience shows that how much it helps when you have good and correct documentation and thusly removes a lot of technical debt.,0
"A solid technical speaker, someone who personally uses Openshift.",0
A very interesting and relevant topic. Look forward to attending the talk. ,0
The talk description needs more details about the talk.,0
The description does not have enough content.,0
The description does not have enough content.,0
This is a good proposal. It will be nice if you can add a point based talk outline.,0
The talk description is too small. Looks like the speaker(s) did not spend enough time for this talk.,0
Haris is a good coder and great speaker. I would love to come and watch his talk.,0
"Arun knows his stuff, which is why we link to his book from ours (Two Scoops of Django). ",0
"I don't think this is a talk for beginners. Beginners may not know what CI is. Also, there is not enough detail in the description to compare this with Jenkins or Travis. On what basis is Tunir simpler than these CI systems? Please add more details.",0
"Thanks for the comment, marking it for the beginners was a typo. I will be adding few more points about why tunir is easier to use. ",0
Thanks Ronojoy,0
"Flask ( Werkzeug ) debugger uses this approach to render traceback. Developer can go back to any point and inspect the variable. Good topic.

![Werkzeug Error Image][1] 


  [1]: http://werkzeug.pocoo.org/docs/0.10/_images/debug-screenshot.png ",0
"Hi Jaseem,
    We have built our own python sandbox in python itself. We are not using any external libraries.",0
@kushal Done. Hope the outline is helpful and the way you were expecting.,0
I updated the talk. Let me know if I can fix something more.,0
"Hi Vishal,

Thank you for the proposal. Can you provide some information on the following :

1. Pandas, Sci-Kit learn, MRJob, Matplotlib : All of these are comprehensive in themselves, how do you plan to cover them in the stipulated time.
2.  You mentioned demonstrating few practical applications, can you share what kind of examples are you planning to cover ?
3. What features will you covering when you talk about MRjob ? Do you also plan to cover topics like deployments and dependency resolutions on the data node when using Python with MRJob.
4. What all data sets are you planning to use .
5.  Can you also share you previous talk videos / slides.

Looking forward for more discussions.
",0
Please provide with more details. On what all do you plan to discuss.,0
"The objective is to expose audience on how to build big data streaming architecture. The talk would include 3 aspects: Challenges of building streaming architecture, tools and technologies for building such an architecture and finally Python libraries and tools available that can be used.

Focus is on big data design paradigm and tools available in python to facilitate it. 

 ",0
"A problem I've not seen addressed (to my personal satisfaction) is about provisioning. i.e. how do you ensure that the development team is working in an identical environment as the production server? Initial setup is well and good, but how to maintain it? As in; when more and more features are added, some developer boxes get out-of-sync with production - and you don't exactly realize this until something horrible happens. Will something like this be covered in the talk?",0
Nice one.,0
"Please add the real life use-cases, how FUSE helps writing file systems in few lines of code..may be accessing social content on filesystem as a usecase in addition to toyfs !

Also describe your intended audience !

Cheers!",0
"@Rohit : I pretty much like the experiences you have shared in the blogpost mentioned above, but to me it looks like a very DevOps talk comparing one monitoring sytem with other, rather than a PyCon Talk. That said, I would still love to see it on stage if not on the main talks but certainly as lightning talk or open spaces. 

Can you try write shed some more light if you can suit it more to pythonic audience. ?",0
"Looking at the slides you shared, to me it is a hello word for Vagrant.  Can you list more detailed points of how you plan to make it suitable for PyCon India audience. ",0
Please add a detailed outline of how and what you plan to share to the audience.,0
"Hi Konark,

Good to hear your viewpoint. I think, it is a pythonic talk because:

* Shinken is a 100% python project. The package is available in PyPi (pip install shinken).
* It has a very modular design. Even the default web UI is a separate python module. Installed using shinken installer (shinken install webui).
* Plugins can be written in any language, including python. I have some of mine in a [github repo](https://github.com/rohit01/nrpe-plugins).

\> *Can you try write shed some more light if you can suit it more to pythonic audience. ?*  
I see a lot of talks, which talks about how python is being used instead of talking about the syntax. This talk presents shinken, a tool built using python, its high level architecture and demonstrates how it is better than Nagios (written in C).

Thanks",0
"Vagrant is for every web developer or designer. So I think this talk is for everyone in the conference.
My PRUG meetup talk was just a getting started with vagrant.
But here I am planning to use Django project for demo and will play with it using vagrant.
I am planning to show how we can deploy app on cloud using vagrant.
Nowadays we have complex server architectures.
I will show how we can have different django web and database server And how they communicate with each other.
",0
Good topic I must say. ,0
"@sarthak : Thank you for your proposal. Would request you please write down a rough agenda of your talk. Also, assuming you are writing your topologies in Python , please mention the libraries you plan to use.

Looking forward to it.",0
"AFAIK, now it's an Apache foundation project, so you might want to update the abstract with the same instead of Twitter.",0
"@sagar : Request you to edit the abstract, and add a detailed list of things and how you plan to present them. Bullet points at this time should be good.",0
@venu : Can you share more details the things / concepts / code you are to talk about. ,0
@Anuvrat : Thank you for your detailed proposal.,0
"Hi,

Please share more details on what kind of plugins are you going to present, if possible link to the repos. where the code is hosted. Also, please provide an agenda of how you plan to structure your talk.
",0
"where could i get the content of this speech, i want learn and test the navigation on RPi2. if i can get it somewhere, it will be very helpful.",0
"Hi Wang

I will upload the slides soons. Was busy with some projects, thats why its delayed. 

Thanks",0
"@konark: kindly take a look at the slides as well ...
shall soon be adding some code to them.",0
"nice, it will been so helpful for me.
thank you very much.",0
Is there an Open Source project that will be showcased or it would be more of an take-pointers-and-do-it-yourself talk?,0
"@konark: The library I am using is [streamparse][1] by the guys at [Parse.ly][2]. 

The rough agenda would be to take the audience through Storm, it's power and capabilities and then running through a Python way to do this. Maybe even ship in a small demo.

Also, I have mentioned Apache Storm itself throughout. Twitter now owns this project, by the way.


  [1]: http://streamparse.readthedocs.org/en/latest/index.html
  [2]: http://www.parsely.com/",0
Yes we will be showcasing an open source project that will utilize the Open source threat feeds and based on that will will extract meaningful and actionable information for security operations and engineering.,0
"Thats really cool. Would look forward to the talk.

If you are willing you can add some more details about the Open source project/threat feeds/preso/links! 

Just brief pointers would be suffice, for the audience to have a better know-how/background about the talk.
",0
Looking forward for this talk.,0
"@arocks: intent here is to help Python developers code faster using the VS IDE with VS Tools for Python. The focus is on Python tools for developer productivity
",0
"@arocks: and probably it got so many votes because it sounds interesting, why else I wonder",0
"how much of Django would we need to know for the workshop to benefit us? 
Say I don't know any Django now but I'm willing to learn a bit before the workshop, would I be able to grasp it? Also, would you be teaching some part of how to make good web apps with Django? ",0
"Typo in slide 8 -- ""XSS protection in DJnago""",0
"@kahlil - It would be advantageous if have already tried out one or two projects in Django. Even if you do have done the Django official polls tutorial, you'll be able to pickup a lot of things. ",0
"Arink,
    Is this talk you are proposing here ? if not what is the project which you want people to contribute  to ?
    ",0
"Here, It is not related to any project. This proposal is for talk.",0
"Hey  Swapnil,
   I see your workshop is selected for this year PyCon India.
   Just for information Devsprint and workshop will be happening parallel.
   Am not sure how will you manage both places ?",0
"Presentation Link

https://docs.google.com/presentation/d/1OSdw6D8vkjuXsGJVTACTxJfISSi7E8G1QGbgqSXZxog/edit#slide=id.p3",0
"Presentation Link

https://docs.google.com/presentation/d/1OSdw6D8vkjuXsGJVTACTxJfISSi7E8G1QGbgqSXZxog/edit#slide=id.p3",0
"Presentation Link

https://docs.google.com/presentation/d/1OSdw6D8vkjuXsGJVTACTxJfISSi7E8G1QGbgqSXZxog/edit#slide=id.p3",0
"Hi:

I made some changes to the presentation:

Link here: https://docs.google.com/presentation/d/1lvexV8yKJckedrGRTk_63_K7vWhLv-z80yaKbvFTBbs/edit#slide=id.p

Would love to discuss improvements. One of the reviewers had mentioned continuity issues and I would be happy to discuss how we can fix this.

Best regards,
Jeet",0
"it would be really great if we could do a meetup in Bangalore. I am sure there are lot of developers willing to use Kivy.  I am one of them. I missed last year's con. I will try to go through the docs link that you have added. And thanks, this is one of my interest since java is not in cup. ",0
"Hi Rakesh,

I would love to do a workshop in Bangalore in one of your meet-ups. Btw for people who didn't get to be a part of the original workshop, I would be available the entire day of the workshop. We have a section for kivy in dev sprints if you want to come over and try to follow the old workshop material yourself I will be available to help out if you have any problems.",0
Here is my talk slide. https://www.slideshare.net/secret/3kOc9GTTiNYxlv,0
"Here is my talk slide for PyCon 2015

 https://www.slideshare.net/secret/3kOc9GTTiNYxlv",0
"For online slides please visit


http://narenaryan.github.io/Pycon-India-2015-Talk/",0
"That's great Akshay, I have purchased this workshop ticket. as you said i will attend the Kivy dev sprints too. I have filled the registration form too and I have not gotten the confirmation. should I be waiting of should I contact some one else.  
",0
"Thanks for submitting.
Can you please attach the link of the poster for the talk?",0
"@rakesh The dev sprints were just finalized, let's wait for one more day, if you still don't get a confirmation then you can e-mail me and I will ask the organizers to get in touch with you.
",0
"Hello Praveen,

Thanks for submitting the proposal.
http://etpython.info/media/releases/psf-python-brochure-vol.-i-final-download.pdf is not working. Please fix it.
Can you attach the poster image url in the proposal?

Thanks,

Chandan Kumar",0
"Hello Chandan,

I have added the poster deck.

",0
"Please assemble add the slides in a single poster for example check here: https://drive.google.com/file/d/0B3WeDMkqc0DoUFM3elJwV2F0cEU/view?usp=sharing
",0
"I can help by sharing my experiences with the Chennai Python User Group, Chennaipy.",0
"I would request to name topic as ""Discussion on Building and Running Communities"" ",0
"Changed the topic , feel free to suggest changes and jot down any points that come to your mind on to the piratepad link http://piratepad.net/pycondiscussion",0
"Vignesh,
    We need to add even PyChill topic.",0
"Hi Chandan Kumar

I have fixed the link and have also added the link to the poster.

Thanks and regards
Praveen",0
Requesting a response again. One of the review comments mentioned issues with continuity. Can you please help me fix it?,0
"Thanks akshay, I got the confirmation and i am selected for Dev Sprints. At what time is the Kivy dev sprints? ",0
"@Rakesh, I guess they will start at the time other dev sprints do start. I will try to make it by 9:30pm.",0
"@Akshay, you mean 9.30 A.M right not 9.30 P.M :) ",0
"yes, 9:30 am :)",0
"Please find venue and time detail for your talks:

Venue: Nimhans 1st floor left side (We will put directions or some board to help you reach venue )

Time: 11 am - 11:30 am

Note: We will display the Open Space talks and time slot available in white board(board will be kept at ground floor on 2nd Oct and, 1st floor on 3rd and 4th Oct). If you want to change your time slots, please reach out the board and move your talk to available time slots.",0
Date for talk is 3rd Oct.,0
"Please find venue and time detail for your talks:

Venue: Nimhans 1st floor left side (We will put directions or some board to help you reach venue )

Time: 11:30 am - 12:00 noon

Date: 3rd Oct

Note: We will display the Open Space talks and time slot available in white board(board will be kept at ground floor on 2nd Oct and, 1st floor on 3rd and 4th Oct). If you want to change your time slots, please reach out the board and move your talk to available time slots.",0
"Please find venue and time detail for your talks:

Venue: Nimhans 1st floor left side (We will put directions or some board to help you reach venue )

Time: 12 noon - 12:30 am

Date : 3rd Oct

Note: We will display the Open Space talks and time slot available in white board(board will be kept at ground floor on 2nd Oct and, 1st floor on 3rd and 4th Oct). If you want to change your time slots, please reach out the board and move your talk to available time slots.",0
Sorry the Time is 12 noon - 12:30 pm,0
"Please find venue and time detail for your talks:

Venue: Nimhans 1st floor left side (We will put directions or some board to help you reach venue )

Time: 11 am - 11:30 am

Date : 4th Oct

Note: We will display the Open Space talks and time slot available in white board(board will be kept at ground floor on 2nd Oct and, 1st floor on 3rd and 4th Oct). If you want to change your time slots, please reach out the board and move your talk to available time slots.",0
"Please find venue and time detail for your talks:

Venue: Nimhans 1st floor left side (We will put directions or some board to help you reach venue )

Time: 11:30 am - 12:00 noon 

Date : 4th Oct

Note: We will display the Open Space talks and time slot available in white board(board will be kept at ground floor on 2nd Oct and, 1st floor on 3rd and 4th Oct). If you want to change your time slots, please reach out the board and move your talk to available time slots.",0
"Please find venue and time detail for your talks:

Venue: Nimhans 1st floor left side (We will put directions or some board to help you reach venue )

Time: 12:00 noon - 12: 30 pm

Date : 4th Oct

Note: We will display the Open Space talks and time slot available in white board(board will be kept at ground floor on 2nd Oct and, 1st floor on 3rd and 4th Oct). If you want to change your time slots, please reach out the board and move your talk to available time slots.",0
"Satyaakam, 

This topic will be shifted to one  of the Audi's . Time and venue details will be updated to you by the team on Conf day.",0
"Please cancel this session. Encountered other important assignments that has come in. Assign this slot to some one else. 

Please take note of the same.",0
"Please cancel this session. Encountered other important assignments that has come in. Assign this slot to some one else.

Please take note of the same.",0
"Guys,
updated the content slides.
Github repo for the code will be updated soon, struggling with slow internet speed at conference. ",0
updated the repository which have all the demos.,0
"Great info.I like all your post.I will keep visiting this blog very often.It is good to see you verbalize from the heart and your clarity on this important subject can be easily observed. Thanks again!
If you love gaming for unity games kindly visit….       
<a href = http://unanimousstudios.com/marketplace/> mobile app & game development</a>
",1
Can you share more relevant links to the project.,0
"Hi, I've edited the doc and added few more links.",0
 ,0
Looks good...,0
"<p>Nice. I'm curious to know what new features will be coming up on pagure. :) </p>
+1 for this.",0
"Hey, can you add some slides or more info about the project.",0
Sure . I am in the process of creating them . Will put them up as soon as i finish them up . ,0
All the Best. Do your best for all developer community worldwide.,0
Thank you so much. @Limbani Bhavik,0
Nice,0
Nice bro !! I'm with you ,0
@meet2 thanks man!!,0
 Good  Job Bro..,0
 Good  Job Bro..,0
 Good  Job Bro..,0
"Thanks soni kunjan @soni2
",0
Worth going to..,0
"Good going, bro...!!",0
This one is helpful..,0
Deserves to be attended. ,0
Feeling proud ...kashyap,0
"Very passionate, dedicated and hard working guy. You will definitely love his sessions....",0
great . Al the best bro,0
"Hi Sourav, Impressive talk!. Great presentation for an undergraduate level and keep up your passion. ",0
"Waiting to see Health Monitoring with Python.
We can team up together as i am working on python for UMLS, SNOMED and HL7.
See More : https://in.pycon.org/cfp/2016/proposals/python-for-healthcare-medical-terminologies-for-python-umls-snomed-ct-icd10-hl7~b28Je/
",0
@vickysam Cool. Thanx for contacting. Lets chat sometimes on e-mail at sandeep.nagar@gmail.com,0
@Sandeep That's cool. You can catch me at vicky.chawda@gmail.com / https://in.linkedin.com/in/vicky-chawda-37b3a9100,0
Looking forward to this talk,0
Interesting stuff!,0
"Siddharth, I'll complete those slides by next few weeks and I'll write here after completion.
Any input and expectation will help me. ",0
"Interesting. 
I use algo in stock market. My talk "" Application of Machine Learning and Sentiment analysis in stock market""",0
"Will you show output of sentiment analysis using flask?
I use sentiment analysis in stock market. MY talk: "" Application of Machine Learning and Sentiment analysis in stock market""",0
Looking forward to this talk. ,0
@parthasen Yes I'll show the output of sentiment analysis using flask!!,0
I'm looking forward to this. Good job @jargnar,0
The blog post I linked should be updated in the next week to reflect some changes I made to the algorithm.,0
This indeed does look very interesting! ,0
Looking forward to this.,0
Would love to attend this talk. +1,0
Interesting one. Hoping to see this in PyCon 2016,0
Indeed an interesting and useful topic. Looking forward to attend the talk.,0
+1 to this,0
+1 to this. Would love to attend the talk.,0
The best person in Asia to give this talk. He is constantly one of the top package reviewer in Fedora land for many years.,0
Can you please update you talk to show what all things you will talk? The current state of the proposal does not give any idea about the details.,0
"The content may become difficult, but should be an useful talk for  many.",0
Just wondering about the standard library tag :) As Kivy is not part of the Python stdlib.,0
Can you please add more details to your talk? It should show the things you want to talk about. Please also update the speaker's info to understand why you are the right person to give this talk.,0
The current proposal shows more of a  statement than a talk proposal with details about the talk. Please update your talk proposal to reflect the actual contents of your talk.,0
"Thank you Kushal :-) . I tagged it this way on purpoes. If i got chance to conduct this workshop, i will share that why i tagged stldlib with this and why kivy should be be in stdlib.",0
"this talk would bring some of the features of opencv 2 not in openCV 3 by default. Some of these features like SURF and SIFT absent in openCV 3 by defaut.Every time someone needs his old favourite tool,he has to build the binaries from scratch and then can use it. If we are able to write python libraries for opencv then that would be really great. This was just one instace, there are many more where getting a prebuit library really makes the work easier
",0
"CFFI is good, and listening it from Noufal would be nice.",0
Can you please update your profile to showcase your experience about flask?,0
Thanks for this proposal.,0
Can you please update your proposal to show more details about your talk? Like the major points you will talk about etc. Right now it is very small amount of text.,0
Can you please update the speaker's profile section to showcase why are you a good fit to give the talk on this topic?,0
Please update your talk proposal with more information.,0
I have made an effort to keep the talk as informative as possible without introducing complexity into it. But you do have a point. It might end up being a heavy one.,0
"Hi Kushal,

Updated speaker's profile.",0
Looking for this talk!. We are facing scaling problems .,0
Yeah it is a wonderful concept ,0
Yeah I too used django it works  like a 'wow',0
Yea looking for this good  type of  talks,0
I think this is worth of listening,0
I think this is worth of listening,0
Now thats something interesting. Looking forward to this talk. ,0
Good one bro,0
Good job,0
Please add more details in your talk proposal. ,0
"Can you clarify a little more? If someone attends this talk, what will they learn? ",0
"They will get a insight on how OpenCv gets more easier by using python. Simply , how more one can achieve by writing less and simple code.",0
This talk needs to be more focussed. Talking about all the points mentioned in 30 minutes will not be possible in a useful fashion.,0
Thanks. That clarifies it a little but I think a rough outline of what you're going to present will help us to understand what you're going to be talking about. Is this about using some kind of FFI to call openCV functions from within Python?,0
"Yes FFi is the solution on one hand but  what we can do is write complete newpython libraries that can be used for some basic operations that take a lot of lengthy lines of code in c++. Making it short and simple will be the key in the talk.
",0
"Hi Kushal,

What other details do you want in the talk proposal. I will upload the slides in another few days.

Thanks and regards,
Annapoornima",0
"So, is your talk about reimplementing some parts of OpenCV in pure python?",0
"This is what actually I was looking for, thanks man good job :) ",0
"Hi Annapoornima,
Can you clarify what is the purpose of this IoT solution? What is the problem you are trying to address?
Kind regards",0
great work !!,0
If you want to understand fedora package ecosystem then you don't want to miss it.,0
Precise and informative! Piqued my curiosity further to read about Recommendation Engines. Waiting for your next write up!,0
"Looking forward for this talk
",0
Thanks @abhay @tushar3 . ,0
"This proposal is selected to be for an ""Advanced"" audience. Would it be possible to add the expected outcome for the audience? As in, at the end of this presentation, what are the things they would be able to achieve?",0
"A small set of comments - is this an overview of the experiences and challenges faced by the presenters or, does this talk intended to guide the audience (real-time) into submitting patches into the OpenStack project? Also, it does not seem very clearly articulate about how it aligns with the general theme/focus of PyCon.",0
"This presentation is slated for an audience classified as ""Intermediate"". I'd request that the speaker (re)consider the agenda of the talk. The first two items should be provided as (pre)talk requirements and the various challenges/complexities of deploying a number of (choosing a wider pattern of applications would be great!) applications in the target environment would be a good place to start from. From thereon, moving to aspects of application lifecycle maintenance, security, availability/resiliency etc would be good-to-have topics.",0
"""Measuring Semantic Similarity between sentences in Python"" should probably read ""Using Python to measure semantic similarity between sentences"".

There's been a number of approaches on similar topics using nltk - if you'd like to cite them for the audience to have a conceptual grasp of the problem domain you are trying to address, it would be nice to do.",0
"Do you happen to have a list of useful websites which could be scraped and such? I am suggesting that a bunch of ""ToDo"" or, ""Now that we have shared our knowledge, how about you/the audience consider working on these sites"" kind of list.",0
The proposal (as read here) does not seem to clearly articulate the outcome for the audience - what would they be able to do after this talk?,0
"The proposal (as read in the current form) does not provide adequate detail about the expected outcome for the audience - what would they be able to do at the end of the talk? Also, the scope of the topic would need some re-think. ""Core Python"" sets off expectations of deep/technical discussion around specific aspects of the programming language/design and at present the talk is a list of topics which should be available to anyone with access to documentation.",0
"The prerequisites section could do with further detail. ""Basic knowledge"" could mean a variety of things and the audience should be clear about the expectations being set up by the speaker.",0
"The proposal does not have adequate detail about the outcome from this talk - what can the audience get done after this talk? Also, the prerequisites section is somewhat vague.

The current form of the proposal seems to be about ""how to use Ansible for consistent deployments"" while the ML systems are a workload specific aspect of it. Perhaps the author would (re)consider the description.",0
Sure I am adding outcome for the audience to description. ,0
@sankarshan The talk would enable the audience to actually get acquainted with the two above-mentioned architectures and get in a position to make a well informed decision to zero down on following either of the practice in accordance with their needs and purposes . The talk also would give them clarity on the decision to adapt a framework amidst the available python based frameworks .  ,0
"I've recently wrote a blog post for ""Getting started with scraping in python"". The site I used for my tutorial is this ""Pycon India 2016"" site itself. Please have a look at it http://satwik.ghost.io/2016/06/19/any/ . <- This is the temporary link as of now. 
Regarding useful sites to scrape, there's no limit to that. A rule of thumb may be ""Whenever you want to use some data that any website is displaying, but that website doesn't have an API then you should scrape."" For example,  you can scrape bookmyshow.com for list of events in your area, Flipkart for making sites like buyhatke, cricbuzz for getting cricket statistics and score and so on. However, I'll make a list of all the practical applications I could think of and upload a link to it soon. Thanks for your suggestions by the way :).",0
There's a fine line between scraping a site and DOSing a site. Please explain to the audience the importance of not accidentally bringing the site down.,0
"I would request that you re-visit the intended audience. I agree with your premise that Python's adoption and popularity is increasing. However, the order in which you desire the audience may just be too niche/difficult for a PyCon (and I'd be happy to be proven wrong). Instead, if you focus on the newbies and demonstrate Python's ability to be extended into calculation of risk and such, you'd probably have an audience who are hooked (there have been previous instances where risk analysis etc have been great talks).",0
"I'd suggest that you assume that the audience is aware of the first two topics (in your proposal) and for the subsequent items, please provide a link to a dataset of reasonable size which you'd be working with and they can tinker around to reach similar results.",0
"Do you intend to take a specific case and walk the audience through the problems and solutions in order to arrive at this stack? Or, is it an overview of how the components fit together?",0
"Thanks, sure that helps",0
"The typo in the title would need to be fixed. That aside, would you be using a mock application to demonstrate the test paths (along with how the actual code can be written better to aid testing)? Or, is this a general overview?

It is intended at an ""Advanced"" level, but the proposal does not seem to address any of the topics which an advanced user of such a flow will be faced with.",0
"The current set of topics being covered in this proposal would appeal to a beginner rather than an intermediate practitioner. Would you like to add more detail about complexities and challenges involved in building such an infrastructure or, is this a general overview?",0
Its neither of those.  1 would be a sales pitch for SPA with redux as solution. 2 would just be an overview. The talk delves into much finer technical details mentioned in bullet points in the description. Let me know if you have any further queries. Happy to answer them. ,0
"I noticed that there is a workshop proposal with the same title - are these two unique bits or, the same thing? Building hyperlocal weather sensors is an interesting exercise. Do you intend to cover how your audience can DIY and how it can be useful for them?",0
"I wanted to check if you have previously presented on this topic at any local meetup. This is an interesting proposal and often, these form of proposals evolve if the speaker has been discussing these over a period of time.",0
It would be good to have a link to the dataset you'll be using as part of the demo. The audience can choose to continue after the talk and learn.,0
"I'd recommend turning this talk on its head. Instead of ""a gentle introduction to Ansible"" (which is a good thing, but fairly mundane), how about building up good habits in beginners and showing them how some of the common problems/pitfalls from code -> deploy can be managed via Ansible?",0
"Hi Sankarshan:

Yes, I am sorry for the typo, I meant Beginner's level only, I will change the level, basically the talk would just need a basic understanding or awareness of AWS EcoSystem and its components. 

Regards,
Suman++",0
"Thanks,  I've added a slide for 'Ethics of Scraping' :)",0
Fixed..,0
"Yes i would take a demo application and run thru the end to end testing of API using requests and unittest module.

The Description of the talk is updated accordingly",0
"@Sankarshan, I want to present a talk and do a workshop as well. Talk is preferable. If time permits and if I have people to do the DIY workshop, I am for it.

@misccold, I am presenting how to collect temperature data and pass it on to the Raspberry Pi. Further, there are a plethora of things that can be done with data, some of the things that I can think on top of my head are, display heat maps, develop home automation tools, etc. Sky is just the beginning for limits.",0
